P38615|P53050|2.575
P33416|Q06697|2.575
Q12377|P53549|2.575
Q01477|P26321|2.575
P38615|P17065|2.575
P30822|P07259|2.575
Q08723|P38737|2.575
P30822|P16140|2.575
P40578|P38142|2.575
P38691|P38187|2.575
Q05359|P02309|2.575
P30822|P10592|2.575
Q03103|Q04651|2.575
P38691|P32567|2.575
P40970|P34730|2.575
P38691|P38349|2.575
Q99260|Q04934|2.575
P30822|P11484|2.575
Q07824|Q03655|2.575
P30822|P02994|2.575
P25297|P43561|2.575
P38691|P48566|2.575
P25297|P35723|2.575
P38691|P36062|2.575
P43565|P38075|2.575
P38691|P22139|2.575
P43565|Q03795|2.575
P38691|P32875|2.575
P43565|P32784|2.575
P38691|P32266|2.575
P25808|P07703|2.575
P38691|Q07528|2.575
Q03655|P39986|2.575
Q01477|P05750|2.575
Q04934|P01123|2.575
P20448|P38697|2.575
P07264|P00330|2.575
P38691|Q04526|2.575
P25808|P22276|2.575
P38691|Q12411|2.575
P25333|P43573|2.575
P20448|P50095|2.575
P25333|P32567|2.575
P38691|Q12142|2.575
P25333|Q02805|2.575
P38691|Q02555|2.575
P25333|P33750|2.575
P20448|P04147|2.575
P25333|P39731|2.575
P20448|P41805|2.575
P25333|P53851|2.575
P20448|Q12690|2.575
P25333|Q12162|2.575
P38691|P34226|2.575
P40970|P10659|2.575
P38691|P37262|2.575
P25333|P38781|2.575
P20448|P40212|2.575
P25333|P53154|2.575
Q01477|P02557|2.575
Q08271|Q12119|2.575
P38967|P10592|2.575
Q08271|P15367|2.575
P20448|P0C2I0|2.575
Q08271|Q04697|2.575
P20448|P0C2H6|2.575
Q12469|P39967|2.575
P38691|Q03177|2.575
P23292|P50944|2.575
P38691|P38272|2.575
Q12469|P37262|2.575
P38691|P33750|2.575
Q12469|P46672|2.575
P38691|P35183|2.575
Q12469|Q12391|2.575
P20448|P05736|2.575
P23292|Q92392|2.575
P20448|P14126|2.575
Q12469|P32784|2.575
P38691|P38286|2.575
P23292|Q04215|2.575
P38691|P38277|2.575
P23292|P40453|2.575
P38691|Q99209|2.575
Q12469|P38870|2.575
P38691|P53176|2.575
Q12469|Q03703|2.575
Q04969|P09733|2.575
Q12469|Q04489|2.575
P20448|P02994|2.575
P23292|P40498|2.575
P38691|P38321|2.575
Q12469|P17065|2.575
P38691|Q12038|2.575
P40970|P19358|2.575
P32527|P0C2I0|2.575
Q12469|P38682|2.575
P38691|P15274|2.575
P23292|Q05166|2.575
P38691|P32598|2.575
P23292|P25604|2.575
P38691|Q12515|2.575
P23292|P38354|2.575
P32527|P0C2H6|2.575
Q12469|Q6Q595|2.575
P38691|P22276|2.575
Q12469|Q02895|2.575
P38691|P38182|2.575
Q12469|P32902|2.575
P32527|P10664|2.575
Q12469|P53863|2.575
P38691|P32837|2.575
Q12469|Q99186|2.575
Q04969|P02557|2.575
P23292|P53759|2.575
P32527|P26321|2.575
P23292|P53629|2.575
P32527|P32905|2.575
P23292|Q06525|2.575
P38691|Q92392|2.575
Q12469|Q03649|2.575
P38691|P46679|2.575
P23292|P53913|2.575
P38691|P17967|2.575
P53233|P32567|2.575
P32527|P05753|2.575
P36003|P40041|2.575
P38691|P43573|2.575
P36003|P46679|2.575
P38691|P20434|2.575
Q08732|P17065|2.575
P38691|P53943|2.575
Q12505|P39731|2.575
P38691|P34227|2.575
Q08732|P53629|2.575
P47047|P49626|2.575
P32790|Q02455|2.575
P38691|P31386|2.575
Q12505|P39734|2.575
P38691|P40463|2.575
P10507|P38144|2.575
P38691|P32609|2.575
Q06411|Q05022|2.575
P38691|P02994|2.575
P41318|P00560|2.575
P09436|P02994|2.575
Q12505|P53943|2.575
P47047|P29453|2.575
P32366|P53147|2.575
P47047|P05317|2.575
Q12505|P38781|2.575
P38691|P39967|2.575
P25808|P53011|2.575
P47047|P32905|2.575
P39966|P54115|2.575
P38691|Q03795|2.575
P32566|P38011|2.575
P38217|P17079|2.575
Q12505|P36062|2.575
P38691|Q6Q5H1|2.575
Q01560|Q02455|2.575
P38691|Q03233|2.575
P51979|P23202|2.575
P38691|Q03703|2.575
Q05359|P26570|2.575
P39077|P38249|2.575
Q12505|P31382|2.575
P32558|P43639|2.575
Q12505|Q03177|2.575
P32558|P38930|2.575
Q12505|Q08227|2.575
P47176|P19882|2.575
P28006|P20449|2.575
P38217|P26321|2.575
Q12505|Q02895|2.575
P38217|P05317|2.575
P39012|P25376|2.575
P39077|P13856|2.575
Q12505|P42934|2.575
P38691|P46672|2.575
P40958|P18759|2.575
P38691|P39734|2.575
P40970|P30822|2.575
P38217|P46654|2.575
Q03656|P32828|2.575
P38691|P25377|2.575
Q03656|P32565|2.575
P38217|P05753|2.575
Q03656|P43593|2.575
P38691|P25303|2.575
P38426|P11484|2.575
P38691|P32558|2.575
Q03656|Q08438|2.575
P38217|P02994|2.575
Q03656|Q08641|2.575
P38691|O13528|2.575
Q03656|P36062|2.575
P38691|Q05580|2.575
P24280|P53174|2.575
P38217|P09733|2.575
P12612|Q03063|2.575
P39077|P32457|2.575
P25354|P04819|2.575
P38691|Q06146|2.575
Q02895|P01120|2.575
P38217|P02557|2.575
P22216|P32468|2.575
P38691|P33755|2.575
P25808|Q04491|2.575
P38691|P32797|2.575
Q03656|Q02207|2.575
P38217|P07259|2.575
P38085|P40069|2.575
P38217|P16140|2.575
P39547|P32453|2.575
P38691|Q12162|2.575
P24869|P31111|2.575
P38691|P38682|2.575
P24869|Q12043|2.575
P38691|P35735|2.575
P38251|Q04934|2.575
P38691|P40213|2.575
P40457|P39723|2.575
P38691|Q12446|2.575
P32465|P26570|2.575
P38691|P38266|2.575
P04451|P40069|2.575
P38691|P49367|2.575
P24869|Q06407|2.575
P38691|P53878|2.575
P40582|P38130|2.575
P22517|P00925|2.575
P25567|P39936|2.575
P38205|P50095|2.575
P53170|P35724|2.575
P38691|P34222|2.575
Q03656|Q08492|2.575
P38691|Q12366|2.575
Q03656|P53885|2.575
P38691|P33309|2.575
P32337|P00549|2.575
P38205|P50094|2.575
P53276|P10591|2.575
P38205|P14126|2.575
P36008|P40069|2.575
P38205|O14455|2.575
Q03656|P53874|2.575
P14681|P43581|2.575
Q03656|P38806|2.575
P39678|P32905|2.575
P24869|P38721|2.575
P38205|P10664|2.575
Q03656|P35724|2.575
P38205|P49626|2.575
Q03656|Q08162|2.575
P14681|P25036|2.575
P36160|P04147|2.575
P38205|P26321|2.575
P06782|Q02207|2.575
P14681|P17065|2.575
P06782|Q05775|2.575
P39079|P40157|2.575
P06782|Q06451|2.575
P14681|P23180|2.575
P00546|P11710|2.575
P38205|P05317|2.575
P06782|Q07657|2.575
