P68136|P14206
P68136|Q8K419
P68136|P09103
P68136|O55022
P68136|Q99JG3
P68136|Q63880
P68136|P62081
P68136|Q8BXK9
P17742|Q99P81
P17742|Q8K419
P17742|P97429
P17742|Q9R0P5
P17742|P26040
P17742|Q99JG3
P17742|Q9CQW5
P17742|Q64176
P17742|P60766
P48036|P62991
P51162|Q9CQW5
P28574|P62140
P28574|P63087
Q9EP53|P62137
O88879|P62137
P28574|P62137
P06745|Q2EMV9
P63261|Q08460
Q00623|Q08460
P16858|Q08460
P61982|Q08460
P67871|P11985
Q99JJ1|Q9WTL8
Q99JJ1|O08785
Q7TMB8|P63074
P35922|Q7TMB8
Q91ZD4|Q61062
P70211|P56671
P70396|Q9QYH6
P12023|Q91X83
P12023|Q922R8
P12023|O35887
P12023|Q9DCL8
P12023|Q9WV92
P12023|P24369
P12023|P08113
P12023|Q8BP92
P12023|Q9JKR6
P12023|Q61316
P12023|Q812A2
P12023|Q9D1Q6
Q06335|Q9Z268
Q06335|P33173
Q06335|Q60780
Q03157|Q0VGU4
Q61738|Q8C2K1
Q61738|Q6A028
Q60837|Q9EQ14
Q9CZA6|Q60898
P49817|P60710
Q8CBY8|Q8C8R3
P70399|A2A5Z6
P63001|A2A5Z6
P70414|Q4FK52
P70414|P22227
Q61066|P70414
Q155P7|P63004
Q9CZA6|P11983
P63261|Q8C8R3
P01731|P06240
O08641|Q6DFV5
Q80U72|Q149L7
P17918|P63087
Q8BL66|Q9JI11
Q9QYH6|O55176
P63330|P67871
Q80Z96|P51141
Q91ZD4|P51141
Q80TQ2|Q9Z2F6
O08900|P63280
Q64364|Q8VCI5
O09106|P62137
Q9DAS9|P14206
O08601|Q9D687
Q9DAS9|P07724
P48036|Q9CQW5
Q8CFI2|P63087
Q9WTX5|P63087
Q2NL51|P63087
Q8CFI2|P62137
Q6ZWX6|P62137
Q9CZV8|Q62277
P49817|P32020
P16014|O35526
Q99MH6|P51141
Q60668|P06151
O88513|P31311
Q9JMB1|P80316
Q99PW8|Q9Z0V2
Q9CX84|Q9Z2H7
Q8BL66|Q5EBH1
Q62179|Q9Z2H7
Q62179|Q9Z0G0
Q64151|Q9Z0G0
Q69ZI1|Q9Z2F7
Q9QWV4|P09405
Q9QWV4|Q99J45
Q9QWV4|Q9CXW3
Q9QWV4|Q9Z1D1
P10637|P62137
P05627|Q91Y86
Q61699|P68369
Q8VDN2|Q52JJ6
P46662|Q920D3
A2ARV4|P97318
Q91ZX7|P97318
A2ARV4|Q9WVI9
Q924X6|Q9WVI9
