P10083|P13098
P10083|P11420
P10083|P10083
P10987|Q9VFM9
P10987|O77291
P83967|P05661
P83967|P25843
P18091|Q9I7U4
P00334|P00334
P17210|P18105
P17210|P17210
Q24170|P11346
P09774|P10084
P09774|P09774
P08928|P08928
P11046|P15215
O62602|O61443
O62602|O62618
Q24311|O77430
Q8T9L5|P40417
Q8MQW7|P40792
O61458|O96660
Q8MSQ4|O61443
Q24117|Q24117
P54733|P91654
Q24533|P16241
P31369|Q24533
P31368|Q24533
P11420|P10627
P11420|P10084
P11420|P22816
P11420|P09774
P11420|O18374
O61618|P27619
O02002|O01382
O02002|O02002
Q95YG3|Q9VLW8
P98149|Q94527
P15330|Q94527
P31007|P34082
P20009|P40427
P07207|P18168
O18394|P04755
P20480|P20480
P98159|P98159
Q27571|Q27571
Q9V3H8|Q9U1H9
Q24190|P40792
P31264|P09077
Q8IQ95|P48148
P07663|P07663
Q9NF31|Q9VHA0
P11346|P18475
Q9W0V1|Q24496
Q9W0V1|P91656
P12370|P81900
O96681|Q24322
Q05652|Q05652
P42570|O46308
P40797|P54359
P40797|P42207
P40797|P40797
Q24455|Q08605
P08645|Q86BI2
P40792|Q9NHV9
Q9VDG2|P48555
P48555|Q86BI2
P08646|Q86BI2
Q02427|Q02427
P48148|O44113
Q24218|P09208
Q9VZZ9|Q08012
P07713|Q24326
Q24229|P07713
Q8IRY7|Q94527
Q08012|P13368
Q24324|P40417
Q24324|Q24170
P23023|P23023
P13098|P10084
Q27368|O77051
P13582|P05049
P13582|O62589
Q8WS23|Q9I7U4
Q07327|Q24547
Q24491|Q9V3W7
O96610|P20659
P10084|P10084
Q9V3W7|P19018
Q24080|P18475
P36975|Q24547
P36975|P18489
P43332|P19339
O15945|O61543
P45843|P10090
P19339|Q24562
P19339|Q94535
P20227|P52654
Q58S70|P08953
P19018|P19018
Q08605|P42282
P48994|P19334
Q9VJJ7|P48994
P42282|P42282
P10627|P10627
Q8INB9|Q9W0V1
Q8SWV4|P40417
P13395|Q23980
P13395|Q00963
P06605|P20480
P06605|P17210
P06605|P61857
P06604|P08841
Q9Y0A7|P11420
P02833|O18381
Q7KJV5|Q7KJV6
Q7KJV5|O97102
P29673|O77284
Q961B0|Q9V407
O02374|Q08473
Q9U8R4|Q9U8R4
P18824|Q9V407
P45888|P32392
Q9VW15|P20659
Q9V407|P36872
Q9V407|P51140
Q9V407|Q9V407
Q9W0K7|Q9W0K7
Q24560|P20480
Q24560|P17210
Q9V3B4|Q9NHG0
Q24040|Q9W349
P91672|Q09147
P04412|Q24080
P04412|Q9VVJ6
P18491|P09774
P02836|O46339
P02836|P40427
Q07436|Q24564
O18381|P31264
Q05201|Q05201
P48462|P12982
O18388|P52295
O18388|O76522
P02835|P06601
P27091|Q24326
O62589|P05049
O62589|O62589
P20353|Q9NFR7
P49735|P91676
P49735|Q9V461
Q26454|Q9V461
P83949|Q06453
P48462|Q8IQB4
Q9V464|P84040
Q9V464|P02299
P16621|P00522
P51140|Q24279
Q03017|Q03017
Q86B87|Q24478
Q9VHV1|Q9W0P2
Q9GNC0|Q9W0P2
Q01069|P10083
Q01069|P10084
Q01069|P09775
Q01069|P11420
Q01070|P10083
Q01070|P10084
Q01070|P09775
Q01070|P11420
P13097|P09775
P13097|P11420
P13096|P11420
P13098|P11420
Q01068|P10084
Q01068|P09775
Q01071|Q01068
Q01069|Q01070
Q01069|Q01071
Q01069|P48987
Q01070|Q01070
Q01070|Q01071
P13097|Q01069
P13097|Q01070
P13097|Q01071
P13097|P48987
P13096|P13096
P13098|P13098
Q01068|Q01069
Q01068|Q01070
Q01068|P13096
Q01068|P48987
Q01071|P13098
P18491|P09775
Q9VX75|Q9VX75
Q7KNM2|Q7KNM2
Q24040|Q24039
P09208|P09208
Q8MQV4|O15945
Q9VPU1|Q9VPU1
Q9NCC3|Q9NCC3
O96757|O96757
O96757|Q09147
Q24218|Q24213
Q9VZ09|Q26263
Q9VZ09|Q9VZ09
Q01071|O46036
Q24338|Q9V727
Q24338|Q9VHA0
Q24338|Q08605
Q24338|P41046
Q24472|O77051
Q24472|Q9W542
P04197|Q9VF04
P04197|Q27368
P04197|Q24472
Q24318|P04197
Q24318|Q24572
Q9W542|O77051
Q24459|Q94517
P42124|Q9NJG9
Q9VAT0|Q9VSU8
Q8MSX2|Q8IH24
Q8MSX2|Q9VS38
Q8MSX2|Q9W5P1
Q27934|Q27934
P21461|P25867
Q8MQJ9|P29617
P09956|Q8IN94
P09956|Q7KPY3
P09956|Q9BIW6
P09956|Q7KMJ0
Q7KPY3|P25439
Q7KPY3|Q9BIW6
Q7KPY3|O76490
Q8IN94|Q7KPY3
P55162|P02572
P55162|P10987
P55162|Q9Y0S9
P51140|Q7JUF2
P08181|P13098
Q24152|Q24159
Q9VJE5|Q8MSS1
O61735|P49021
O61735|P07663
Q24139|O44924
Q9V8R9|Q94887
P46150|P10040
Q9XYM0|Q8MQW7
O76906|P17917
O77059|P49021
O77059|P07663
P25157|P48148
O46036|P42282
P13002|Q24325
P13002|Q9VB08
P42287|P42519
P42287|Q9W0F8
P42287|Q9VYW6
P20350|P42287
P16371|P22711
P16371|Q94517
P16371|Q24573
P16371|P02299
P16371|Q02308
P05084|O97159
P05084|P07247
Q02936|P91682
Q02936|Q9VZU2
Q02936|P18502
P02255|Q05783
P84051|Q24150
P02283|Q24150
P02299|Q8IRW8
Q01068|O97179
Q09147|O44783
Q03017|P98149
Q03017|Q8MRC3
P62152|P48994
Q00168|Q7KJV6
Q00168|P31007
Q24120|P48148
Q24120|P25843
O46034|P04412
P23572|P02299
P23573|Q24152
O18353|P08970
O18353|P52168
O18353|P22810
O18353|P02835
P19538|P18431
P19538|O01368
P54367|P19538
Q9U1H0|P16371
Q86M30|Q23977
P08181|P15348
P08181|P39770
P08181|Q24150
P08181|P13097
P08181|P13096
Q8T0S6|Q24306
P22813|Q08605
P02828|P52304
P02828|P11346
Q8IGP7|Q9VKN7
Q24307|Q24106
Q24307|Q24475
P12080|Q8IP51
P12080|Q23984
Q24008|P48994
